termino_normalizado,frecuencia,ejemplo_original
balaandra,1,balaandra
ranchon,1,ranchon
psilebot,1,psilebot
quecke,1,quecke
quenhe,1,quenhe
barer,1,barer
golnta,1,golnta
bonbarda,1,bonbarda
vapor pique,1,vapor pique
bergantin fustano,1,bergantín fustano
agata,1,agáta
vapor de guer,1,vapor de guer.
barta,1,barta
banchon,1,banchón
gelega,1,Gelega
quechs,1,quechs
ca napolitana,1,ca napolitana
bargantin goleta de guerra,1,bargantin goleta de guerra
zumaon,1,zumaon
bombardero,1,bombardero
patucho,1,patucho
hergantin,1,hergantin
btn,1,btn.
pielebot,1,pielebot
bergantintin goleta,1,bergantintin goleta
hugle,1,hugle
can,1,can
corbeta transporte,1,corbeta transporte
barca transporte,1,barca transporte
chulana,1,chulana
peilcbot,1,peilcbot
borgantin goleta,1,borgantin goleta
barea sarda,1,barea sarda
golera,1,golera
paileto,1,paileto
baic be ga,1,baic be ga
patach,1,patach
bergatin goleta,1,bergatin goleta
roleta,1,roleta
pailelet,1,pailelet
znmaca,1,zñmaca
bergaltin goleta,1,bergaltin goleta
pai,1,pai
golosa,1,golosa
bombar,1,bombar
q he,1,q he.
pera sarda,1,pera sarda
gtr,1,gtr
leta,1,leta
goleta sarda,1,goleta sarda
patacho de guerra,1,patacho de guerra
cerca americana,1,cerca americana
paile-bot,1,paile-bot
berganc,1,berganc
zumace,1,zumace
pailot,1,pailot
berg de guerra,1,berg de guerra
patagho,1,patagho
brlandra,1,brlandra
zumaci,1,zumaci
pi bot,1,pi bot
pa leb,1,pa leb.
raieboi,1,raieboi
bergantin geleta,1,bergantin geleta
pailchos,1,pailchos
gts,1,gts
p tacho,1,p tacho
pc o,1,pc4o
blira,1,blira
pbos,1,pbos
bllra,1,bllra
brg goleta,1,brg goleta
zumica,1,zumica
logre,1,logre
paik bot,1,paik bot
pai e,1,pai'e
ballenera pailebot,1,ballenera pailebot
bergantim,1,bergantim
lar ohon,1,lar ohon
balandri,1,balandri
paileliot,1,paileliot
pailibot,1,pailibot
balleners,1,balleners
paiiebot,1,paiiebot
ootacho,1,ootacho
vapor pequete,1,vapor pequete
quoche,1,quoche
patccho,1,patccho
bergantie goleta,1,bergantie goleta
lanchca,1,lanchca
chalada,1,chalada
bergautin goleta,1,Bergautin Goleta
tragata,1,tragata
golesa,1,golesa
quecbe,1,quecbe
bargatin,1,bargatin
zumamaca,1,zumamaca
batandra,1,batandra
becca,1,becca
priboleta,1,priboleta
bellenera,1,bellenera
ballencra,1,ballencra
pergantin,1,pergantin
bailenera,1,bailenera
balandra goleta,1,balandra goleta
falucha,1,falucha
borea,1,borea
zanchon,1,zanchon
bar zueca,1,Bar zueca
balandea,1,balandea
paileboi,1,Paileboi
fragota,1,fragota
brgantin goleta,1,brgantin goleta
daifebot,1,daifebot
bergantintiu goleta,1,bergantintiu goleta
pailchot,1,pailchot
dorgan tin,1,dorgan tin
baiandra,1,baiandra
pailebou,1,pailebou
zumana,1,zumana
belandra,1,belandra
paslebot,1,paslebot
nombardo,1,nombardo
calana,1,calana
balandre,1,balandre
corredtino,1,corredtiño
ysumaca,1,Ysumaca
bersantin goleta,1,bersantin goleta
barca polacera,1,barca polacera
sailebot,1,sailebot
bergantin galeta,1,bergantin galeta
lanzbon,1,lanzbon
vapor paquefe,1,vapor paquefe
lancqon,1,lancqon
pola cra,1,pola cra
birca,1,Birca
halanda,1,halanda
vaporaquete,1,vaporaquete
pailecotuisa,1,pailecotuisa
tumaca,1,tumaca
pilelot,1,pilelot
palandra,1,palandra
ergantin,1,ergantin
gol eta,1,gol eta
paibolet,1,paibolet
bergantin g ta,1,bergantin g'ta
lombarda,1,lombarda
zumacu,1,zumacu
brarca,1,brarca
balanera,1,balanera
paapor,1,paapor
paylebor,1,paylebor
berhantin,1,berhantin
paile bat,1,paile bat
natacho,1,natacho
antin,1,antín
pluma,1,pluma
bir,1,bir
balacra,1,balacra
pailebpt,1,pailebpt
bergantin-barca,1,bergantin-barca
bergsntin goleta,1,bergsntin goleta
gojeta,1,gojeta
paile boi,1,paile boi
galota,1,galota
zumaea,1,zumaea
policra,1,policra
polacia,1,polacia
gele,1,gele
berg gel,1,berg gel
pelacra,1,pelacra
paglebot,1,paglebot
barco a vapor,1,barco á vapor
igeleta,1,igeleta
qailsbot,1,qailsbot
baldnera,1,baldnera
goleta pailebot,1,"goleta, pailebot"
goleta hanoveria,1,goleta hanoveria
ballenerera,1,ballenerera
barealtaliana,1,barealtaliana
borfiantin,1,borfiantin
par,1,par
esplora,1,esplora
bergantin pailebot,1,bergantín pailebot
vapor paquenete,1,vapor paqueñete
varer,1,varer
btrea,1,btrea
palobot,1,palobot
palacia espanola,1,palacia española
lauehon,1,lauehon
lanchon a vapor,1,lanchón á vapor
patacho goleto,1,patacho goleto
chalanas,1,chalanas
vapor paqueta,1,vapor paqueta
caria,1,Caria
berbantin goleta,1,berbantin goleta
uarca,1,uarca
soleta,1,Soleta
paileuot,1,paileuot
burca succa,1,burca succa
pailsaot,1,pailsáot
corbeta a vapor de guerra,1,corbeta á vapor de guerra
carse,1,carse
barma,1,barma
paque,1,paque
gol holandesa,1,gol holandesa
caua,1,caua
chala,1,chala
balencra,1,balencra
gol sneca,1,gol sneca
peiledot,1,peiledot
alandra,1,alandra
haleta,1,haleta
chaiana,1,chaiana
vapor trasporte,1,vapor trasporte
vao,1,vao
oriental,1,oriental
bacca,1,bacca
berta gta,1,berta. gta.
bergantin goleta polacra,1,bergantín goleta polacra
paileqot,1,paileqot
lan,1,lan
batca,1,batca
polacera,1,polacera
paque-e,1,paque-e
martitima,1,MARTITIMA
barricas,1,barricas
lugre bergantin,1,lugre bergantín
zumacn,1,zumacn
bergantim goleta,1,bergantim goleta
pailcbot,1,pailcbot
gat,1,gat.
baria,1,baría
balacdra,1,balacdra
ballenra,1,ballenra
chapan,1,chapan
brem,1,brem.
vapor paqnete,1,vapor paqnete
vapor gol lanchon,1,vapor gol. lanchon
lugre zueco,1,lugre zueco
pergantin goleta,1,pergantin goleta
berrantin,1,berrantín
islas cuter,1,islas cuter
bergantin potrera,1,bergantín potrera
carce,1,carce
bergantan,1,bergantán
bergantin gojeta,1,bergantín gojeta
polilebot,1,polilebot
pl,1,pl.
correntina,1,correntina
polaera,1,polaera
barcarca,1,barcarca
bergantin goletg,1,bergantín (goletg)
fragate,1,fragate
bergantia goleta,1,bergantia goleta
barca po acra,1,barca po'acra
pol est,1,pol est
zu maca,1,zu maca
paile,1,paile
vapor lugel,1,vapor lugel
pailab,1,pailab
quete,1,quete
vapor lanchon,1,vapor lanchon
enter,1,enter
champan,1,champan
