termino_normalizado,frecuencia,ejemplo_original
stockholm,7,Stockholm
las vacas,6,las Vacas
ferrol,6,Ferrol
coya,6,Coya
suecia,6,Suecia
islas de hornos,6,Islas de Hornos
malvinas,6,Malvinas
de la paz,6,De la Paz
gualeguychu,6,Gualeguychú
sante-fe,6,Sante-Fé
puertos del brasil,6,Puertos del Brasil
salto y concordia,6,Salto y Concordia
calcutta,6,Calcutta
paraguay y puertos intermedios,6,Paraguay y Puertos Intermedios
porto allegre,6,Porto Allegre
palmas,6,Palmas
santo tome,6,Santo Tomé
darien,6,Darien
bahia blanca y patagones,6,Bahia Blanca y Patagones
glasgon,6,Glasgon
queenstown,6,Queenstown
gardiff,6,Gardiff
fray-bentos,6,Fray-Bentos
patagonia,6,Patagonia
st john s,6,St. John's
pictou,6,Pictou
greenok,6,Greenok
saigon,6,Saigon
savanach,6,Savanach
rio gualeguay,6,Rio Gualeguay
interior,6,Interior
messina,6,Messina
b blanca,6,B. Blanca
flume,6,Flume
emden,6,Emden
manaos,6,Manaos
sauce oriental,5,Sauce Oriental
ysla de mayo,5,Ysla de Mayo
bardeos,5,Bardeos
santa lucia,5,Santa Lucia
las conchas,5,las Conchas
isla de hornos,5,Isla de Hornos
frankfort,5,Frankfort
sante fe,5,Sante Fé
del monte,5,Del Monte
arenal grande,5,Arenal Grande
del havre,5,Del Havre
atalaya,5,Atalaya
cupaleu,5,Cupaleu
cadiff,5,Cadiff
zirate,5,Zirate
lujan,5,Lujan
tayu,5,Tayú
gualegua,5,Gualegua
monto,5,Monto
gloucester,5,Gloucester
istas,5,Istas
salta,5,Salta
isias,5,Isias
parnagna,5,Parnagna
tome,5,Tomé
cenova,5,Cénova
la asuncion,5,la Asuncion
patagones y bahia blanca,5,Patagones y Bahia Blanca
rosaria,5,Rosaria
s fernando,5,S. Fernando
portlan,5,Portlan
new brunswick,5,New Brunswick
saint john,5,Saint John
saint mary,5,Saint Mary
islas cuter,5,Islas cuter
stockolmo,5,Stockolmo
salas,5,Salas
greenoch,5,Greenoch
isla dos hermanos,5,Isla Dos Hermanos
pictow,5,Pictow
middlesbourgh,5,Middlesbourgh
middlesbourg,5,Middlesbourg
burrard inlet,5,Burrard Inlet
bari,5,Bari
v concepcion,5,V Concepción
madero,5,Madero
madryn,5,Madryn
sur,5,Sur
deseado,5,Deseado
la ensenada,4,la Ensenada
esquina corrientes,4,Esquina (Corrientes)
savana,4,Savana
san francisco de california,4,San Francisco de California
carmen,4,Carmen
bordeaux,4,Bordeaux
yslas,4,Yslas
villa del pilar en la provincia del paraguay,4,"Villa del Pilar, en la Provincia del Paraguay"
rio-janeiro,4,Rio-Janeiro
provincia del paraguay,4,Provincia del Paraguay
puertos de inglaterra,4,Puertos de Inglaterra
san isidro,4,San Isidro
escocia,4,Escocia
matanza,4,Matanza
moute,4,Moute
agde,4,Agde
portland e u,4,Portland (E. U.)
yeguada,4,Yeguada
constitucion,4,Constitucion
dunquerque,4,Dunquerque
villa vista,4,Villa Vista
santo fe,4,Santo fé
genoa,4,Genoa
pensacolas e u,4,Pensacolas (E. U.)
paradero,4,Paradero
paranagna,4,Paranagná
restauracion,4,Restauracion
baradera,4,Baradera
guay,4,Guay
glashow,4,Glashow
tuyo,4,Tuyo
sau pedro,4,Sau Pedro
ibicui,4,Ibicuí
searsport,4,Searsport
cualeguay,4,Cualeguay
gueleguay,4,Gueleguay
puertos estrangeros,4,Puertos estrangeros
gorrientes,4,Gorrientes
s nicolas,4,S. Nicolas
pernagua,4,Pernagüá
santa elena,4,Santa Elena
paranasito,4,Paranasito
pailebot,4,Pailebot
palma,4,Palma
palermo,4,Palermo
geneva,4,Géneva
nueva escocia,4,Nueva Escocia
hong-kong,4,Hong-Kong
paso de la patria,4,Paso de la Patria
st mary s,4,St. Mary's
sonthampton,4,Sonthampton
isla del uruguay,4,Isla del Uruguay
boulogne,4,Boulogne
l pool,4,L'pool
los rios,4,Los Rios
hervidero,4,Hervidero
isla de san fernando,4,Isla de San Fernando
ratterdam,4,Ratterdam
savannach,4,Savannach
alicante,4,Alicante
glagow,4,Glagow
c del uruguay,4,C. del Uruguay
coronel,4,Coronel
trinchera del san jose,4,Trinchera del San José
santa maria,4,Santa Maria
